username,url,comments,all_res,sentiment_class,sentiment_score,binary_class,binary_score
shermainezy,https:/www.instagram.com/p/CeKwqRDPy0P/,😍😍😍😍😍😍😍😍😍😍😍😍,"[[{'label': 'anger', 'score': 0.1325617879629135}, {'label': 'disgust', 'score': 0.042123571038246155}, {'label': 'fear', 'score': 0.09030597656965256}, {'label': 'joy', 'score': 0.08987197279930115}, {'label': 'neutral', 'score': 0.492676705121994}, {'label': 'sadness', 'score': 0.11567475646734238}, {'label': 'surprise', 'score': 0.03678526356816292}]]",neutral,0.492676705121994,NEGATIVE,0.6970565915107727
shermainezy,https:/www.instagram.com/p/CeKwqRDPy0P/,so chio!!,"[[{'label': 'anger', 'score': 0.017207017168402672}, {'label': 'disgust', 'score': 0.005383066367357969}, {'label': 'fear', 'score': 0.0028512480203062296}, {'label': 'joy', 'score': 0.37011587619781494}, {'label': 'neutral', 'score': 0.18489646911621094}, {'label': 'sadness', 'score': 0.06510652601718903}, {'label': 'surprise', 'score': 0.35443973541259766}]]",joy,0.3701158761978149,POSITIVE,0.9971768856048584
shermainezy,https:/www.instagram.com/p/CeD2twOPnrT/,Check dm pls,"[[{'label': 'anger', 'score': 0.0057885232381522655}, {'label': 'disgust', 'score': 0.002973306691274047}, {'label': 'fear', 'score': 0.0034564684610813856}, {'label': 'joy', 'score': 0.014079942367970943}, {'label': 'neutral', 'score': 0.921362042427063}, {'label': 'sadness', 'score': 0.023486778140068054}, {'label': 'surprise', 'score': 0.028852980583906174}]]",neutral,0.921362042427063,NEGATIVE,0.9690569043159484
shermainezy,https:/www.instagram.com/p/CeD2twOPnrT/,Very beautiful shermainezy 😍😍❤️❤️,"[[{'label': 'anger', 'score': 0.004996074363589287}, {'label': 'disgust', 'score': 0.0016999713843688369}, {'label': 'fear', 'score': 0.006749638821929693}, {'label': 'joy', 'score': 0.718056321144104}, {'label': 'neutral', 'score': 0.22439976036548615}, {'label': 'sadness', 'score': 0.014617150649428368}, {'label': 'surprise', 'score': 0.0294810701161623}]]",joy,0.718056321144104,POSITIVE,0.9997081160545348
shermainezy,https:/www.instagram.com/p/CeD2twOPnrT/,Check dm pls babe,"[[{'label': 'anger', 'score': 0.009791068732738495}, {'label': 'disgust', 'score': 0.005319599062204361}, {'label': 'fear', 'score': 0.00571031728759408}, {'label': 'joy', 'score': 0.16241462528705597}, {'label': 'neutral', 'score': 0.6900851130485535}, {'label': 'sadness', 'score': 0.06947620213031769}, {'label': 'surprise', 'score': 0.05720309913158417}]]",neutral,0.6900851130485535,NEGATIVE,0.9679075479507446
shermainezy,https:/www.instagram.com/p/CeD2twOPnrT/,"Tour nusa penida with yacht,book now!!","[[{'label': 'anger', 'score': 0.009816648438572884}, {'label': 'disgust', 'score': 0.0014574227388948202}, {'label': 'fear', 'score': 0.006216723471879959}, {'label': 'joy', 'score': 0.30610573291778564}, {'label': 'neutral', 'score': 0.3054036498069763}, {'label': 'sadness', 'score': 0.020995669066905975}, {'label': 'surprise', 'score': 0.3500041961669922}]]",surprise,0.3500041961669922,POSITIVE,0.9907355904579164
shermainezy,https:/www.instagram.com/p/CeD2twOPnrT/,Isst got Bali must leopard print ???,"[[{'label': 'anger', 'score': 0.016527589410543442}, {'label': 'disgust', 'score': 0.007403878029435873}, {'label': 'fear', 'score': 0.01667470484972}, {'label': 'joy', 'score': 0.007263572420924902}, {'label': 'neutral', 'score': 0.8631186485290527}, {'label': 'sadness', 'score': 0.00947249960154295}, {'label': 'surprise', 'score': 0.07953907549381256}]]",neutral,0.8631186485290527,NEGATIVE,0.9975650310516356
shermainezy,https:/www.instagram.com/p/CeD2twOPnrT/,"𝐈 𝐬𝐭𝐚𝐫𝐭𝐞𝐝 𝐰𝐢𝐭𝐡 $500 𝐚𝐧𝐝 𝐚𝐟𝐭𝐞𝐫 5𝐝𝐚𝐲𝐬 𝐎𝐟 𝐭𝐫𝐚𝐝𝐞𝐬 𝐈 𝐫𝐞𝐜𝐞𝐢𝐯𝐞𝐝 $6,𝟓𝟎𝟎 𝐚𝐥𝐥 𝐭𝐡𝐚𝐧𝐤𝐬 𝐭𝐨  𝐟𝐨𝐫 𝐦𝐚𝐤𝐢𝐧𝐠 𝐢𝐭 𝐩𝐨𝐬𝐬𝐢𝐛𝐥𝐞 𝐦𝐚𝐲 𝐆𝐨𝐝 𝐛𝐥𝐞𝐬𝐬 𝐲𝐨𝐮 𝐟𝐨𝐫 𝐭𝐡𝐞 𝐠𝐨𝐨𝐝 𝐰𝐨𝐫𝐤 𝐲𝐨𝐮 𝐡𝐚𝐯𝐞 𝐝𝐨𝐧𝐞 𝐟𝐨𝐫 𝐦𝐞👉  @FX_JENNIA_GEORGE","[[{'label': 'anger', 'score': 0.14140379428863525}, {'label': 'disgust', 'score': 0.02103581465780735}, {'label': 'fear', 'score': 0.21703800559043884}, {'label': 'joy', 'score': 0.061435334384441376}, {'label': 'neutral', 'score': 0.40225932002067566}, {'label': 'sadness', 'score': 0.10070674866437912}, {'label': 'surprise', 'score': 0.05612102895975113}]]",neutral,0.4022593200206756,NEGATIVE,0.9733003377914428
shermainezy,https:/www.instagram.com/p/CeD2twOPnrT/,MMMMMMMMMM!  I want to kiss you with passion today!!,"[[{'label': 'anger', 'score': 0.021357299759984016}, {'label': 'disgust', 'score': 0.0040197730995714664}, {'label': 'fear', 'score': 0.006673149298876524}, {'label': 'joy', 'score': 0.40735194087028503}, {'label': 'neutral', 'score': 0.0682859718799591}, {'label': 'sadness', 'score': 0.07515666633844376}, {'label': 'surprise', 'score': 0.4171552062034607}]]",surprise,0.4171552062034607,POSITIVE,0.999706208705902
shermainezy,https:/www.instagram.com/p/CeD2twOPnrT/,Erm Jane never wear leopard prints……. She wear yellow dress???,"[[{'label': 'anger', 'score': 0.027518128976225853}, {'label': 'disgust', 'score': 0.02088458277285099}, {'label': 'fear', 'score': 0.014157921075820923}, {'label': 'joy', 'score': 0.004783120006322861}, {'label': 'neutral', 'score': 0.3793511986732483}, {'label': 'sadness', 'score': 0.012684322893619537}, {'label': 'surprise', 'score': 0.5406206846237183}]]",surprise,0.5406206846237183,NEGATIVE,0.9500768184661864
shermainezy,https:/www.instagram.com/p/CeD2twOPnrT/,Didnt know tarzan attached leh if not i go for it liao,"[[{'label': 'anger', 'score': 0.004421566613018513}, {'label': 'disgust', 'score': 0.0029128745663911104}, {'label': 'fear', 'score': 0.004775854293256998}, {'label': 'joy', 'score': 0.03385666012763977}, {'label': 'neutral', 'score': 0.5595848560333252}, {'label': 'sadness', 'score': 0.03747645393013954}, {'label': 'surprise', 'score': 0.3569716811180115}]]",neutral,0.5595848560333252,NEGATIVE,0.9940330386161804
shermainezy,https:/www.instagram.com/p/CeD2twOPnrT/,Leopard prings 😍,"[[{'label': 'anger', 'score': 0.054965514689683914}, {'label': 'disgust', 'score': 0.032490916550159454}, {'label': 'fear', 'score': 0.009888005442917347}, {'label': 'joy', 'score': 0.06911356747150421}, {'label': 'neutral', 'score': 0.7728431224822998}, {'label': 'sadness', 'score': 0.03932955488562584}, {'label': 'surprise', 'score': 0.021369220688939095}]]",neutral,0.7728431224822998,NEGATIVE,0.970207154750824
shermainezy,https:/www.instagram.com/p/CfNwr1NviGZ/,你很漂亮,"[[{'label': 'anger', 'score': 0.03794049844145775}, {'label': 'disgust', 'score': 0.028795026242733}, {'label': 'fear', 'score': 0.00946854893118143}, {'label': 'joy', 'score': 0.006115340162068605}, {'label': 'neutral', 'score': 0.884731650352478}, {'label': 'sadness', 'score': 0.0073954141698777676}, {'label': 'surprise', 'score': 0.02555348165333271}]]",neutral,0.884731650352478,NEGATIVE,0.8616328835487366
shermainezy,https:/www.instagram.com/p/CfNwr1NviGZ/,🥰😍,"[[{'label': 'anger', 'score': 0.05461295694112778}, {'label': 'disgust', 'score': 0.019704516977071762}, {'label': 'fear', 'score': 0.027263522148132324}, {'label': 'joy', 'score': 0.05765271931886673}, {'label': 'neutral', 'score': 0.8014355301856995}, {'label': 'sadness', 'score': 0.026291456073522568}, {'label': 'surprise', 'score': 0.013039329089224339}]]",neutral,0.8014355301856995,NEGATIVE,0.6970565915107727
shermainezy,https:/www.instagram.com/p/CfNwr1NviGZ/,Check dm pls babe,"[[{'label': 'anger', 'score': 0.009791068732738495}, {'label': 'disgust', 'score': 0.005319599062204361}, {'label': 'fear', 'score': 0.00571031728759408}, {'label': 'joy', 'score': 0.16241462528705597}, {'label': 'neutral', 'score': 0.6900851130485535}, {'label': 'sadness', 'score': 0.06947620213031769}, {'label': 'surprise', 'score': 0.05720309913158417}]]",neutral,0.6900851130485535,NEGATIVE,0.9679075479507446
shermainezy,https:/www.instagram.com/p/CfNwr1NviGZ/,Gorgeous,"[[{'label': 'anger', 'score': 0.0018916490953415632}, {'label': 'disgust', 'score': 0.0016657612286508083}, {'label': 'fear', 'score': 0.0005328931147232652}, {'label': 'joy', 'score': 0.9731695055961609}, {'label': 'neutral', 'score': 0.01013220939785242}, {'label': 'sadness', 'score': 0.0046242717653512955}, {'label': 'surprise', 'score': 0.00798371434211731}]]",joy,0.9731695055961608,POSITIVE,0.9998780488967896
shermainezy,https:/www.instagram.com/p/CfNwr1NviGZ/,😍😍,"[[{'label': 'anger', 'score': 0.1112423911690712}, {'label': 'disgust', 'score': 0.052428338676691055}, {'label': 'fear', 'score': 0.02777562476694584}, {'label': 'joy', 'score': 0.05773245170712471}, {'label': 'neutral', 'score': 0.6610772013664246}, {'label': 'sadness', 'score': 0.0721854493021965}, {'label': 'surprise', 'score': 0.01755852997303009}]]",neutral,0.6610772013664246,NEGATIVE,0.6970565915107727
shermainezy,https:/www.instagram.com/p/CfNwr1NviGZ/,Pretty girl 😍,"[[{'label': 'anger', 'score': 0.021016646176576614}, {'label': 'disgust', 'score': 0.03778236359357834}, {'label': 'fear', 'score': 0.0030980187002569437}, {'label': 'joy', 'score': 0.3246315121650696}, {'label': 'neutral', 'score': 0.5812886357307434}, {'label': 'sadness', 'score': 0.01824687421321869}, {'label': 'surprise', 'score': 0.01393588725477457}]]",neutral,0.5812886357307434,POSITIVE,0.993874967098236
shermainezy,https:/www.instagram.com/p/CjaXHGgvhQX/,Oooh sooo beautiful shermainezy 🔥🔥😍😍❤️❤️,"[[{'label': 'anger', 'score': 0.004202581942081451}, {'label': 'disgust', 'score': 0.0008426420390605927}, {'label': 'fear', 'score': 0.004379234742373228}, {'label': 'joy', 'score': 0.752448558807373}, {'label': 'neutral', 'score': 0.04471040517091751}, {'label': 'sadness', 'score': 0.014998625963926315}, {'label': 'surprise', 'score': 0.17841795086860657}]]",joy,0.752448558807373,POSITIVE,0.9989757537841796
shermainezy,https:/www.instagram.com/p/CjaXHGgvhQX/,这是健身一段时间的身材吗？,"[[{'label': 'anger', 'score': 0.16988085210323334}, {'label': 'disgust', 'score': 0.05621073395013809}, {'label': 'fear', 'score': 0.05127188563346863}, {'label': 'joy', 'score': 0.020986320450901985}, {'label': 'neutral', 'score': 0.6480726003646851}, {'label': 'sadness', 'score': 0.020192483440041542}, {'label': 'surprise', 'score': 0.03338509425520897}]]",neutral,0.6480726003646851,NEGATIVE,0.9469688534736632
shermainezy,https:/www.instagram.com/p/CjaXHGgvhQX/,WAWOW,"[[{'label': 'anger', 'score': 0.009068905375897884}, {'label': 'disgust', 'score': 0.007382093463093042}, {'label': 'fear', 'score': 0.0057016657665371895}, {'label': 'joy', 'score': 0.0022641634568572044}, {'label': 'neutral', 'score': 0.012158717028796673}, {'label': 'sadness', 'score': 0.009290527552366257}, {'label': 'surprise', 'score': 0.954133927822113}]]",surprise,0.954133927822113,NEGATIVE,0.5657726526260376
shermainezy,https:/www.instagram.com/p/CjaXHGgvhQX/,hot stuff,"[[{'label': 'anger', 'score': 0.07011785358190536}, {'label': 'disgust', 'score': 0.01739434152841568}, {'label': 'fear', 'score': 0.002352107083424926}, {'label': 'joy', 'score': 0.018175942823290825}, {'label': 'neutral', 'score': 0.7308082580566406}, {'label': 'sadness', 'score': 0.012808291241526604}, {'label': 'surprise', 'score': 0.14834323525428772}]]",neutral,0.7308082580566406,POSITIVE,0.9995139837265016
shermainezy,https:/www.instagram.com/p/CjaXHGgvhQX/,Hiii🙌 no answer to my dm 😢😝,"[[{'label': 'anger', 'score': 0.0194843877106905}, {'label': 'disgust', 'score': 0.01642638072371483}, {'label': 'fear', 'score': 0.042103126645088196}, {'label': 'joy', 'score': 0.004029571544378996}, {'label': 'neutral', 'score': 0.05916362628340721}, {'label': 'sadness', 'score': 0.8485554456710815}, {'label': 'surprise', 'score': 0.010237479582428932}]]",sadness,0.8485554456710815,NEGATIVE,0.9997560381889344
shermainezy,https:/www.instagram.com/p/CjaXHGgvhQX/,Wow i wanna smack that ass,"[[{'label': 'anger', 'score': 0.008948358707129955}, {'label': 'disgust', 'score': 0.0057326024398207664}, {'label': 'fear', 'score': 0.006735858973115683}, {'label': 'joy', 'score': 0.001947047421708703}, {'label': 'neutral', 'score': 0.002934960415586829}, {'label': 'sadness', 'score': 0.005783210974186659}, {'label': 'surprise', 'score': 0.9679179191589355}]]",surprise,0.9679179191589355,POSITIVE,0.6314187049865723
shermainezy,https:/www.instagram.com/p/CetAx94viWG/,Gorgeous,"[[{'label': 'anger', 'score': 0.0018916490953415632}, {'label': 'disgust', 'score': 0.0016657612286508083}, {'label': 'fear', 'score': 0.0005328931147232652}, {'label': 'joy', 'score': 0.9731695055961609}, {'label': 'neutral', 'score': 0.01013220939785242}, {'label': 'sadness', 'score': 0.0046242717653512955}, {'label': 'surprise', 'score': 0.00798371434211731}]]",joy,0.9731695055961608,POSITIVE,0.9998780488967896
shermainezy,https:/www.instagram.com/p/CetAx94viWG/,"I have left a message for you, please be sure to check it out","[[{'label': 'anger', 'score': 0.003267310792580247}, {'label': 'disgust', 'score': 0.002319313120096922}, {'label': 'fear', 'score': 0.001330029685050249}, {'label': 'joy', 'score': 0.007020993158221245}, {'label': 'neutral', 'score': 0.9680510759353638}, {'label': 'sadness', 'score': 0.004984527826309204}, {'label': 'surprise', 'score': 0.013026736676692963}]]",neutral,0.9680510759353638,POSITIVE,0.9988287091255188
